fips,year,count_alldrug,population
08059,2021,810,580926
08059,2022,675,576143
08061,2018,0,1385
08061,2019,0,1417
08061,2020,0,1452
08061,2021,0,1446
08061,2022,0,1424
08063,2018,52,7166
08063,2019,18,7161
08063,2020,0,7066
08063,2021,14,6936
08063,2022,0,6961
08065,2018,0,7807
08065,2019,0,8072
08065,2020,0,7404
08065,2021,14,7397
08065,2022,12,7327
08067,2018,45,56511
08067,2019,45,56440
08067,2020,47,55675
08067,2021,46,56187
08067,2022,49,56607
08069,2018,354,351045
08069,2019,315,357241
08069,2020,283,359899
08069,2021,343,362713
08069,2022,338,366778
08071,2018,42,14460
08071,2019,18,14415
08071,2020,45,14482
08071,2021,42,14318
08071,2022,46,14327
08073,2018,0,5595
08073,2019,0,5694
08073,2020,0,5665
08073,2021,10,5477
08073,2022,0,5510
08075,2018,25,22286
08075,2019,15,22409
08075,2020,28,21204
08075,2021,26,21122
08075,2022,28,20823
08077,2018,216,153339
08077,2019,254,154552
08077,2020,183,156005
08077,2021,228,157434
08077,2022,206,158636
08079,2018,0,774
08079,2019,0,756
08079,2020,0,871
08079,2021,0,929
08079,2022,0,931
08081,2018,19,13148
08081,2019,0,13209
08081,2020,0,13264
08081,2021,37,13155
08081,2022,32,13177
08083,2018,31,26303
08083,2019,28,26369
08083,2020,19,25883
08083,2021,0,26216
08083,2022,21,26468
08085,2018,42,42309
08085,2019,39,42791
08085,2020,34,42817
08085,2021,53,43230
08085,2022,72,43811
08087,2018,38,28754
08087,2019,42,28938
08087,2020,30,29072
08087,2021,42,28995
08087,2022,35,29239
08089,2018,49,18354
08089,2019,33,18243
08089,2020,32,18667
08089,2021,26,18536
08089,2022,25,18303
08091,2018,0,4834
08091,2019,0,5005
08091,2020,0,4881
08091,2021,0,5059
08091,2022,0,5100
08093,2018,15,18583
08093,2019,11,18881
08093,2020,0,17419
08093,2021,0,17758
08093,2022,0,17939
08095,2018,0,4343
08095,2019,0,4359
08095,2020,0,4531
08095,2021,0,4508
08095,2022,0,4449
08097,2018,0,18066
08097,2019,10,17902
08097,2020,0,17354
08097,2021,0,17350
08097,2022,0,16876
08099,2018,12,12038
08099,2019,20,12106
08099,2020,12,12010
08099,2021,19,11994
08099,2022,0,11854
08101,2018,326,167574
08101,2019,315,168409
08101,2020,293,168325
08101,2021,352,169332
08101,2022,292,169544
08103,2018,0,6347
08103,2019,0,6350
08103,2020,0,6524
08103,2021,0,6453
08103,2022,0,6569
08105,2018,15,11274
08105,2019,25,11277
08105,2020,21,11538
08105,2021,21,11388
08105,2022,19,11325
08107,2018,19,25489
08107,2019,20,25579
08107,2020,12,24829
08107,2021,20,25056
08107,2022,24,25007
08109,2018,10,6837
08109,2019,12,6829
08109,2020,11,6393
08109,2021,10,6505
08109,2022,0,6623
08111,2018,0,760
08111,2019,0,723
08111,2020,0,710
08111,2021,0,740
08111,2022,0,803
08113,2018,0,8195
08113,2019,0,8169
08113,2020,0,8054
08113,2021,0,8074
08113,2022,0,8003
08115,2018,0,2284
08115,2019,0,2274
08115,2020,0,2390
08115,2021,0,2331
08115,2022,0,2295
08117,2018,18,30771
08117,2019,15,30851
08117,2020,15,30994
08117,2021,31,30971
08117,2022,20,30565
08119,2018,31,25158
08119,2019,40,25408
08119,2020,28,24747
08119,2021,27,24939
08119,2022,19,24857
08121,2018,0,4861
08121,2019,0,4869
08121,2020,0,4808
08121,2021,0,4850
08121,2022,0,4812
08123,2018,290,315360
08123,2019,351,324703
08123,2020,350,331427
08123,2021,508,339811
08123,2022,442,350176
08125,2018,0,9964
08125,2019,0,10020
08125,2020,0,9979
08125,2021,0,9943
08125,2022,0,9899
13001,2018,13,18538
13001,2019,17,18389
13001,2020,25,18366
13001,2021,22,18411
13001,2022,36,18428
13003,2018,11,8344
13003,2019,0,8269
13003,2020,10,8311
13003,2021,0,8358
13003,2022,16,8183
13005,2018,26,11096
13005,2019,25,11098
13005,2020,26,11108
13005,2021,23,11071
13005,2022,44,11191
13007,2018,0,3089
13007,2019,0,3047
13007,2020,0,2851
13007,2021,0,2827
13007,2022,0,2788
13009,2018,31,45001
13009,2019,35,45006
13009,2020,37,43794
13009,2021,21,43671
13009,2022,55,43635
13011,2018,18,18918
13011,2019,23,19175
13011,2020,26,18082
13011,2021,38,18538
13011,2022,34,19328
13013,2018,78,81105
13013,2019,84,83581
13013,2020,104,83975
13013,2021,134,86672
13013,2022,143,89299
13015,2018,177,106488
13015,2019,158,107757
13015,2020,174,109296
13015,2021,236,110901
13015,2022,207,112816
13017,2018,26,16794
13017,2019,30,16711
13017,2020,25,17168
13017,2021,20,17152
13017,2022,30,17069
13019,2018,20,19207
13019,2019,17,19377
13019,2020,26,18148
13019,2021,33,18128
13019,2022,33,18214
13021,2018,199,153069
13021,2019,238,153191
13021,2020,224,157025
13021,2021,212,155985
13021,2022,296,156197
13023,2018,11,12833
13023,2019,20,12923
13023,2020,17,12524
13023,2021,14,12255
13023,2022,13,12257
13025,2018,17,19021
13025,2019,20,19124
13025,2020,35,18043
13025,2021,32,18121
13025,2022,21,18183
13027,2018,14,15491
13027,2019,14,15518
13027,2020,0,16268
13027,2021,13,16285
13027,2022,12,16253
13029,2018,34,38151
13029,2019,36,39692
13029,2020,56,45035
13029,2021,58,46963
13029,2022,41,48225
13031,2018,69,77332
13031,2019,73,79718
13031,2020,80,79918
13031,2021,88,80637
13031,2022,93,83059
13033,2018,28,22501
13033,2019,20,22497
13033,2020,24,24633
13033,2021,40,24333
13033,2022,29,24388
13035,2018,37,24172
13035,2019,42,24917
13035,2020,49,25551
13035,2021,48,26114
13035,2022,38,26649
13037,2018,0,6340
13037,2019,0,6184
13037,2020,0,5573
13037,2021,0,5534
13037,2022,0,5469
13039,2018,63,53816
13039,2019,88,54784
13039,2020,92,54925
13039,2021,29,55754
13039,2022,0,57013
13043,2018,12,10813
13043,2019,11,10835
13043,2020,10,11022
13043,2021,20,11000
13043,2022,26,11000
13045,2018,118,118094
13045,2019,151,120115
13045,2020,209,119484
13045,2021,230,121592
13045,2022,278,124592
13047,2018,32,67402
13047,2019,36,67585
13047,2020,30,68006
13047,2021,19,68420
13047,2022,41,68826
13049,2018,11,12826
13049,2019,0,13277
13049,2020,12,12532
13049,2021,0,12813
13049,2022,0,12781
13051,2018,393,289771
13051,2019,352,290185
13051,2020,446,295064
13051,2021,480,295656
13051,2022,446,301107
13053,2018,0,10548
13053,2019,0,10991
13053,2020,0,9481
13053,2021,0,9044
13053,2022,0,8819
13055,2018,16,24836
13055,2019,24,24846
13055,2020,19,24922
13055,2021,24,24828
13055,2022,26,24936
13057,2018,200,254277
13057,2019,208,259475
13057,2020,225,268175
13057,2021,226,274839
13057,2022,251,281278
13059,2018,110,127179
13059,2019,118,128238
13059,2020,127,128550
13059,2021,196,129185
13059,2022,191,129875
13061,2018,0,2901
13061,2019,0,2901
13061,2020,0,2830
13061,2021,0,2859
13061,2022,0,2845
13063,2018,189,289229
13063,2019,176,292404
13063,2020,192,297623
13063,2021,252,297318
13063,2022,222,296564
13065,2018,16,6601
13065,2019,20,6637
13065,2020,21,6725
13065,2021,12,6698
13065,2022,14,6662
13067,2018,598,757133
13067,2019,543,761060
13067,2020,620,766374
13067,2021,701,766691
13067,2022,706,771952
13069,2018,47,43060
13069,2019,52,43278
13069,2020,54,43052
13069,2021,48,42997
13069,2022,52,43172
13071,2018,62,45467
13071,2019,56,45569
13071,2020,34,45900
13071,2021,41,45757
13071,2022,52,45762
13073,2018,162,154399
13073,2019,155,157129
13073,2020,172,156849
13073,2021,206,159636
13073,2022,207,162419
13075,2018,15,17161
13075,2019,20,17241
13075,2020,19,17234
13075,2021,20,17266
13075,2022,22,17404
13077,2018,133,146063
13077,2019,131,148504
13077,2020,130,146725
13077,2021,129,149925
13077,2022,143,152882
13079,2018,15,12273
13079,2019,26,12345
13079,2020,20,12103
13079,2021,16,12139
13079,2022,19,12140
13081,2018,18,22572
13081,2019,21,22382
13081,2020,44,20050
13081,2021,35,20024
13081,2022,48,19708
13083,2018,0,16238
13083,2019,0,16103
13083,2020,0,16235
13083,2021,0,16230
13083,2022,0,16081
13085,2018,28,25106
13085,2019,24,26091
13085,2020,31,27056
13085,2021,38,28475
13085,2022,29,30138
13087,2018,26,26613
13087,2019,27,26496
13087,2020,29,29324
13087,2021,40,29045
13087,2022,43,28982
13089,2018,545,755514
13089,2019,582,759932
13089,2020,557,764420
13089,2021,692,759231
13089,2022,707,762820
13091,2018,23,20858
13091,2019,26,20672
13091,2020,31,19874
13091,2021,40,19675
13091,2022,32,19802
13093,2018,12,13718
13093,2019,0,13400
13093,2020,0,11165
13093,2021,10,10881
13093,2022,0,10572
13095,2018,60,89247
13095,2019,80,87854
13095,2020,94,85153
13095,2021,93,82267
13095,2022,112,82966
13097,2018,145,145260
13097,2019,153,146680
13097,2020,190,144552
13097,2021,231,145628
13097,2022,191,147316
13099,2018,13,10255
13099,2019,10,10176
13099,2020,0,10799
13099,2021,0,10651
13099,2022,0,10574
13101,2018,0,3933
13101,2019,0,3963
13101,2020,0,3720
13101,2021,0,3708
13101,2022,0,3686
13103,2018,69,62274
13103,2019,53,64342
13103,2020,102,65158
13103,2021,88,66746
13103,2022,95,69041
13105,2018,31,19053
13105,2019,16,19205
13105,2020,16,19667
13105,2021,21,19554
13105,2022,30,19814
13107,2018,15,22582
13107,2019,22,22600
13107,2020,18,22887
13107,2021,21,22887
13107,2022,37,22929
13109,2018,24,10677
13109,2019,17,10661
13109,2020,13,10790
13109,2021,25,10711
13109,2022,18,10695
13111,2018,34,25995
13111,2019,29,26068
13111,2020,26,25434
13111,2021,31,25763
13111,2022,32,25737
13113,2018,75,113333
13113,2019,56,114645
13113,2020,77,119483
13113,2021,83,120681
13113,2022,102,122030
13115,2018,115,97907
13115,2019,116,98325
13115,2020,110,98575
13115,2021,94,98499
13115,2022,126,99443
13117,2018,131,237330
13117,2019,148,244624
13117,2020,154,252878
13117,2021,186,260721
13117,2022,162,267237
13119,2018,26,23039
13119,2019,23,23322
13119,2020,27,23468
13119,2021,24,23503
13119,2022,24,24128
13121,2018,937,1051516
13121,2019,916,1065019
13121,2020,982,1069370
13121,2021,1089,1062531
13121,2022,1112,1074634
13123,2018,32,31011
13123,2019,33,31575
13123,2020,26,31428
13123,2021,42,32090
13123,2022,44,32407
13125,2018,0,2968
13125,2019,0,2959
13125,2020,0,2894
13125,2021,0,2906
13125,2022,0,2939
13127,2018,63,85099
13127,2019,116,85326
13127,2020,134,84471
13127,2021,104,84705
13127,2022,0,85079
13129,2018,82,57737
13129,2019,72,58046
13129,2020,69,57716
13129,2021,66,58253
13129,2022,79,58954
13131,2018,20,24730
13131,2019,21,24588
13131,2020,23,26222
13131,2021,22,25879
13131,2022,27,26008
13133,2018,19,17730
13133,2019,19,18356
13133,2020,11,19021
13133,2021,16,19553
13133,2022,18,20139
13135,2018,519,928072
13135,2019,596,937399
13135,2020,666,958005
13135,2021,830,965145
13135,2022,806,975353
13137,2018,49,45580
13137,2019,69,45542
13137,2020,57,46138
13137,2021,77,46740
13137,2022,88,47475
13139,2018,223,201396
13139,2019,209,204310
13139,2020,226,203735
13139,2021,284,207393
13139,2022,254,212692
13141,2018,0,8344
13141,2019,0,8475
13141,2020,0,8708
13141,2021,0,8664
13141,2022,0,8387
13143,2018,47,29626
13143,2019,51,29884
13143,2020,60,30037
13143,2021,81,30579
13143,2022,75,31337
13145,2018,16,34552
13145,2019,25,35188
13145,2020,24,34896
13145,2021,23,35605
13145,2022,41,36276
13147,2018,22,26078
13147,2019,13,26255
13147,2020,14,25871
13147,2021,32,26340
13147,2022,16,26909
13149,2018,0,11801
13149,2019,11,11825
13149,2020,12,11448
13149,2021,14,11529
13149,2022,14,11725
13151,2018,155,229873
13151,2019,194,234671
13151,2020,186,241848
13151,2021,220,245023
13151,2022,232,248364
13153,2018,139,155004
13153,2019,127,157427
13153,2020,206,164343
13153,2021,212,167156
13153,2022,216,169631
13155,2018,0,9395
13155,2019,14,9442
13155,2020,0,9650
13155,2021,10,9375
13155,2022,12,9126
13157,2018,81,70347
13157,2019,84,73015
13157,2020,99,76717
13157,2021,110,80317
13157,2022,98,83936
13159,2018,0,14024
13159,2019,17,14207
13159,2020,22,14666
13159,2021,20,15259
13159,2022,13,15951
13161,2018,30,15015
13161,2019,30,15101
13161,2020,24,14799
13161,2021,42,14848
13161,2022,32,14889
13163,2018,18,15423
13163,2019,13,15344
13163,2020,13,15678
13163,2021,11,15494
13163,2022,14,15314
13165,2018,0,8790
13165,2019,0,8734
13165,2020,0,8666
13165,2021,0,8776
13165,2022,0,8689
13167,2018,13,9767
13167,2019,16,9724
13167,2020,0,9186
